,train_loss,val_loss,train_acc,val_acc
0,6.244877815246582,3.4351112842559814,0.0,0.3333333333333333
1,3.3538818359375,2.829242706298828,0.5,0.3333333333333333
2,2.7791075706481934,2.0813241004943848,0.5,0.3333333333333333
3,1.8490740060806274,1.5440798997879028,0.5,0.5
4,1.5743458271026611,1.436507225036621,0.625,0.3333333333333333
5,1.343921184539795,1.4345388412475586,0.5,0.5
6,1.4145041704177856,1.6753993034362793,0.375,0.3333333333333333
7,1.1751235723495483,1.5206737518310547,0.5,0.3333333333333333
8,1.2684494256973267,1.4122391939163208,0.5,0.5
9,1.1413264274597168,1.2682101726531982,0.625,0.5
10,1.3570843935012817,1.2951024770736694,0.625,0.3333333333333333
11,1.1223176717758179,1.446783423423767,0.5,0.5
12,0.9128624796867371,1.608536720275879,0.625,0.3333333333333333
13,1.0285093784332275,1.2226053476333618,0.5,0.5
14,0.8198617696762085,1.2344316244125366,0.75,0.5
15,0.8561796545982361,1.2606667280197144,0.75,0.5
16,0.8115816712379456,1.2075937986373901,0.75,0.6666666666666666
17,0.8168259859085083,1.3520127534866333,0.75,0.5
18,0.5610659718513489,1.3565912246704102,0.75,0.5
19,0.9400157928466797,1.1649776697158813,0.75,0.16666666666666666
