,train_loss,val_loss,train_acc,val_acc
0,0.7974449992179871,2.7760651111602783,0.8,0.25
1,1.943039894104004,1.33451247215271,0.5,0.5
2,0.9496658444404602,1.3867895603179932,0.6,0.5
3,1.2807090282440186,1.0607162714004517,0.4,0.5
4,1.1396701335906982,0.8913761377334595,0.4,0.5
5,0.7999604940414429,1.319619059562683,0.6,0.5
6,0.8702969551086426,1.7054399251937866,0.7,0.25
7,0.8213127255439758,1.7780492305755615,0.6,0.25
8,0.8421199917793274,1.587820053100586,0.6,0.5
9,0.724821925163269,1.2907359600067139,0.7,0.5
10,0.659800112247467,1.1677206754684448,0.8,0.5
11,0.689987301826477,1.0632188320159912,0.6,0.75
12,0.8070651888847351,0.9519245028495789,0.6,0.75
13,0.6941132545471191,0.9425827860832214,0.8,0.5
14,0.8117142915725708,1.0214755535125732,0.6,0.5
15,0.7481597661972046,1.082413673400879,0.7,0.5
16,0.7519667148590088,1.1508142948150635,0.7,0.5
17,0.5785331726074219,1.1009831428527832,0.7,0.5
18,0.5693526864051819,1.1184866428375244,0.7,0.5
19,0.5465265512466431,1.0467936992645264,0.8,0.5
